team,name,sport,blessure,position,date
Detroit,K. Joseph,nfl,Hip,DB,"Fri, Apr 19"
Detroit,N. Sudfeld,nfl,Knee - ACL,QB,"Mon, Feb 12"
Green Bay,E. Stokes,nfl,Hamstring,CB,"Wed, May 1"
Green Bay,L. Tenuta,nfl,Ankle,OT,"Wed, May 1"
Green Bay,R. Ford,nfl,Hamstring,DB,"Wed, May 1"
Green Bay,Z. Tom,nfl,Concussion,OT,"Wed, May 1"
Green Bay,S. Toure,nfl,Knee,WR,"Wed, May 1"
Green Bay,K. Enagbare,nfl,Knee - ACL,LB,"Mon, Jan 22"
Houston,N. Brown,nfl,Shoulder,WR,"Thu, May 9"
Houston,T. Howard,nfl,Knee,OT,"Wed, May 8"
Houston,T. Dell,nfl,Leg,WR,"Tue, May 7"
Houston,T. Hairston II,nfl,Back,FB,"Wed, May 1"
Houston,K. Green,nfl,Knee - Meniscus,G,"Wed, May 1"
Houston,K. Green,nfl,Shoulder - Labrum,OT,"Wed, May 1"
Houston,K. Zierer,nfl,Ankle,OT,"Wed, May 1"
Houston,D. Phillips,nfl,Shoulder,LB,"Wed, May 1"
Houston,T. Quitoriano,nfl,Groin,TE,"Wed, May 1"
Houston,D. Horton,nfl,Personal,DE,"Wed, May 1"
Houston,J. Patterson,nfl,Lower Leg,C,"Wed, May 1"
Houston,J. Ward,nfl,Quadriceps,SAF,"Wed, May 1"
Houston,E. Murray,nfl,Knee,SS,"Wed, May 1"
Houston,L. Tunsil,nfl,Knee,OT,"Wed, May 1"
Houston,M. Stewart,nfl,Shoulder,SAF,"Wed, May 1"
Houston,G. Arnold,nfl,Calf,SAF,"Wed, May 1"
Houston,L. Johnson,nfl,Knee,CB,"Wed, May 1"
Indianapolis,T. Leo,nfl,Undisclosed,DE,"Wed, May 1"
Indianapolis,W. Mallory,nfl,Hamstring,TE,"Wed, May 1"
Indianapolis,A. Richardson,nfl,Shoulder - AC Joint,QB,"Wed, May 1"
Indianapolis,J. Witt,nfl,Hip,OT,"Wed, May 1"
Indianapolis,B. Smith,nfl,Knee,OT,"Wed, May 1"
Indianapolis,G. Avery,nfl,Knee - Meniscus,DE,"Wed, May 1"
Indianapolis,D. Scott,nfl,Knee - ACL,SAF,"Wed, May 1"
Indianapolis,J. Woods,nfl,Hamstring,TE,"Wed, May 1"
Indianapolis,D. Flowers,nfl,Achilles,CB,"Mon, Feb 12"
Indianapolis,A. Dulin,nfl,Knee - ACL,WR,"Mon, Feb 12"
Jacksonville,G. Davis,nfl,Knee,WR,"Fri, May 10"
Jacksonville,C. Hodges,nfl,Knee,OT,"Wed, May 1"
Jacksonville,C. Braswell,nfl,Hamstring,CB,"Wed, May 1"
Jacksonville,C. Kirk,nfl,Groin,WR,"Wed, May 1"
Jacksonville,A. Armstead,nfl,Knee - Meniscus,DE,"Wed, May 1"
Jacksonville,D. Thomas,nfl,Forearm,SAF,"Wed, May 1"
Jacksonville,V. Miller,nfl,Achilles,LB,"Mon, Feb 12"
Kansas City,C. Jones,nfl,Chest,LB,"Wed, May 1"
Kansas City,B. Cook,nfl,Ankle,FS,"Wed, May 1"
Kansas City,N. Remigio,nfl,Wrist,WR,"Wed, May 1"
Kansas City,D. Nnadi,nfl,Triceps,NT,"Wed, May 1"
Kansas City,J. Thuney,nfl,Pectoral,OG,"Wed, May 1"
Kansas City,N. Johnson,nfl,Knee - ACL,SAF,"Wed, May 1"
Kansas City,M. Brown,nfl,Heel,WR,"Wed, May 1"
Kansas City,C. Omenihu,nfl,Knee - ACL,DE,"Mon, Feb 12"
Las Vegas,D. Butler,nfl,Undisclosed,LB,"Wed, May 1"
Las Vegas,T. Munford,nfl,Knee,OT,"Wed, May 1"
Las Vegas,A. Walter,nfl,Undisclosed,RB,"Wed, May 1"
Las Vegas,C. Fotheringham,nfl,Hamstring,TE,"Wed, May 1"
L.A. Chargers,C. Linsley,nfl,Illness,C,"Fri, May 10"
L.A. Chargers,Z. Johnson,nfl,Neck,OG,"Wed, May 1"
L.A. Chargers,C. Rumph II,nfl,Foot,LB,"Wed, May 1"
L.A. Chargers,J. Palmer,nfl,Knee,WR,"Wed, May 1"
L.A. Chargers,T. Pipkins,nfl,Knee,OT,"Wed, May 1"
L.A. Chargers,J. Hollins,nfl,Shoulder,LB,"Wed, May 1"
L.A. Chargers,T. Dye,nfl,Wrist,LB,"Wed, May 1"
L.A. Chargers,J. Bosa,nfl,Foot,LB,"Wed, May 1"
L.A. Chargers,J. Herbert,nfl,Finger,QB,"Wed, May 1"
L.A. Chargers,J. Dobbins,nfl,Achilles,RB,"Mon, Feb 12"
L.A. Rams,S. Bennett,nfl,Illness,QB,"Wed, May 1"
L.A. Rams,A. Ward,nfl,Neck,LS,"Wed, May 1"
L.A. Rams,H. Long,nfl,Knee - MCL,TE,"Wed, May 1"
L.A. Rams,J. Jackson,nfl,Knee - Meniscus,OG,"Wed, May 1"
L.A. Rams,S. Jolly,nfl,Undisclosed,DB,"Wed, May 1"
L.A. Rams,T. White,nfl,Achilles,CB,"Mon, Feb 12"
L.A. Rams,T. Higbee,nfl,Knee - ACL + MCL,TE,"Fri, Jan 19"
Miami,E. Ezukanma,nfl,Neck,WR,"Wed, May 1"
Miami,Z. Vandenburgh,nfl,Undisclosed,LB,"Wed, May 1"
Miami,J. Holland,nfl,Knee,SAF,"Wed, May 1"
Miami,S. Ahmed,nfl,Foot,RB,"Wed, May 1"
Miami,B. Chubb,nfl,Knee - ACL,OLB,"Tue, Feb 13"
Miami,C. Goode,nfl,Kneecap,LB,"Tue, Feb 13"
Miami,J. Phillips,nfl,Achilles,LB,"Tue, Feb 13"
Minnesota,N. Thompson,nfl,Knee,CB,"Wed, May 1"
Minnesota,T. Jackson,nfl,Toe,DB,"Wed, May 1"
Minnesota,J. Roy,nfl,Ankle,DT,"Wed, May 1"
Minnesota,M. Blackmon,nfl,Shoulder,DB,"Wed, May 1"
Minnesota,M. Knowles,nfl,Undisclosed,WR,"Wed, May 1"
Minnesota,J. Nailor,nfl,Concussion,WR,"Wed, May 1"
Minnesota,B. O'Neill,nfl,Foot,OT,"Wed, May 1"
Minnesota,A. Van Ginkel,nfl,Foot,OLB,"Wed, May 1"
Minnesota,B. Murphy,nfl,Knee - MCL,CB,"Wed, May 1"
Minnesota,E. Ingram,nfl,Shoulder,OG,"Wed, May 1"
Minnesota,T. Hockenson,nfl,Knee - ACL + MCL,TE,"Tue, Feb 13"
New England,D. Ekuale,nfl,Biceps,DT,"Wed, May 1"
New England,M. Jones,nfl,Shoulder,CB,"Wed, May 1"
New England,V. Lowe,nfl,Head,OT,"Wed, May 1"
New England,C. Gonzalez,nfl,Shoulder - Labrum,CB,"Wed, May 1"
New England,I. Bolden,nfl,Concussion,CB,"Wed, May 1"
New England,M. Judon,nfl,Biceps,OLB,"Wed, May 1"
New England,R. Reiff,nfl,Knee,OT,"Wed, May 1"
New England,R. McMillan,nfl,Achilles,MLB,"Wed, May 1"
New England,C. Strange,nfl,Knee,OG,"Wed, May 1"
New England,K. Bourne,nfl,Knee - ACL,WR,"Tue, Feb 13"
New Orleans,N. Saldiveri,nfl,Shoulder,OG,"Wed, May 1"
New Orleans,M. Lattimore,nfl,Ankle,CB,"Wed, May 1"
New Orleans,S. Lemieux,nfl,Biceps,OG,"Wed, May 1"
New Orleans,A. Kamara,nfl,Ankle,RB,"Wed, May 1"
New Orleans,L. Young,nfl,Knee,OT,"Wed, May 1"
New Orleans,R. Ramczyk,nfl,Knee,OT,"Wed, Apr 17"
New Orleans,C. Jordan,nfl,Ankle,DE,"Mon, Mar 25"
New Orleans,C. Young,nfl,Neck,DE,"Tue, Mar 19"
New Orleans,N. Sewell,nfl,Knee - ACL,LB,"Tue, Feb 13"
N.Y. Giants,D. Jackson,nfl,Undisclosed,RB,"Fri, May 10"
N.Y. Giants,J. Pinnock,nfl,Toe,SS,"Wed, May 1"
N.Y. Giants,G. Brightwell,nfl,Hamstring,RB,"Wed, May 1"
N.Y. Giants,D. Banks,nfl,Shoulder,CB,"Wed, May 1"
N.Y. Giants,E. Neal,nfl,Ankle,OT,"Wed, May 1"
N.Y. Giants,J. Ezeudu,nfl,Toe,OT,"Wed, May 1"
N.Y. Giants,L. Cager,nfl,Groin,TE,"Wed, May 1"
N.Y. Giants,D. Slayton,nfl,Thumb,WR,"Wed, May 1"
N.Y. Giants,G. Gano,nfl,Knee,K,"Wed, May 1"
N.Y. Giants,J. Schmitz,nfl,Shin,C,"Wed, May 1"
N.Y. Giants,T. Phillips,nfl,Quadriceps,OT,"Tue, Feb 13"
N.Y. Giants,A. Robinson,nfl,Knee - ACL + MCL,CB,"Tue, Feb 13"
N.Y. Giants,B. Ford-Wheaton,nfl,Knee,WR,"Tue, Feb 13"
N.Y. Giants,D. Jones,nfl,Knee - ACL,QB,"Tue, Feb 13"
N.Y. Jets,J. Sirmon,nfl,Undisclosed,LB,"Sat, May 11"
N.Y. Jets,Z. Barnes,nfl,Hamstring,LB,"Wed, May 1"
N.Y. Jets,A. Rodgers,nfl,Achilles,QB,"Wed, May 1"
N.Y. Jets,J. Tippmann,nfl,Ankle,C,"Wed, May 1"
N.Y. Jets,J. Ruckert,nfl,Concussion,TE,"Wed, May 1"
N.Y. Jets,W. Schweitzer,nfl,Calf,OG,"Wed, May 1"
N.Y. Jets,C. Clark,nfl,Knee - ACL,DB,"Wed, May 1"
N.Y. Jets,M. Moses,nfl,Pectoral,OT,"Wed, Mar 20"
N.Y. Jets,A. Vera-Tucker,nfl,Achilles,OG,"Tue, Feb 13"
N.Y. Jets,M. Williams,nfl,Knee - ACL,WR,"Tue, Feb 13"
Philadelphia,L. Clark,nfl,Undisclosed,OT,"Fri, May 3"
Philadelphia,N. Dean,nfl,Foot,LB,"Wed, May 1"
Philadelphia,C. Uzomah,nfl,Knee - MCL,TE,"Wed, May 1"
Philadelphia,R. Johnson,nfl,Undisclosed,OT,"Wed, May 1"
Philadelphia,B. Covey,nfl,Knee,WR,"Wed, May 1"
Philadelphia,J. Jones,nfl,Concussion,WR,"Wed, May 1"
Philadelphia,D. Slay,nfl,Back,CB,"Wed, May 1"
Philadelphia,M. Hennessy,nfl,Knee,C,"Wed, May 1"
Philadelphia,A. Brown,nfl,Knee,WR,"Wed, May 1"
Philadelphia,A. Okwuegbunam,nfl,Hamstring,TE,"Wed, May 1"
Philadelphia,Z. McPhearson,nfl,Achilles,CB,"Tue, Feb 13"
Philadelphia,S. Brown,nfl,Knee - ACL,SAF,"Sat, Jan 20"
Pittsburgh,J. Porter Jr.,nfl,Concussion,CB,"Wed, May 1"
Pittsburgh,C. Holcomb,nfl,Knee,LB,"Wed, May 1"
Pittsburgh,D. Lowry,nfl,Pectoral,DE,"Wed, May 1"
Pittsburgh,T. Watt,nfl,Knee - MCL,OLB,"Wed, May 1"
Pittsburgh,T. Thompson,nfl,Neck,DB,"Wed, May 1"
Pittsburgh,C. Heyward,nfl,Groin,DT,"Tue, Apr 16"
Pittsburgh,C. Trice,nfl,Knee - ACL,CB,"Tue, Feb 13"
San Francisco,D. Jackson,nfl,Knee,DE,"Wed, May 1"
San Francisco,D. Gray,nfl,Shoulder - AC Joint,WR,"Wed, May 1"
San Francisco,C. Latu,nfl,Knee - Meniscus,TE,"Wed, May 1"
San Francisco,N. Zakelj,nfl,Biceps,OT,"Wed, May 1"
San Francisco,J. Hargrave,nfl,Thumb,NT,"Wed, May 1"
San Francisco,K. Davis,nfl,Ankle,DT,"Wed, May 1"
San Francisco,T. Hawkins,nfl,Wrist,SAF,"Wed, May 1"
San Francisco,C. Ward,nfl,Groin,CB,"Mon, Mar 25"
San Francisco,G. Kittle,nfl,Groin,TE,"Mon, Mar 25"
San Francisco,T. Hufanga,nfl,Knee - ACL,SAF,"Tue, Feb 13"
San Francisco,D. Greenlaw,nfl,Achilles,LB,"Mon, Feb 12"
Seattle,J. Peters,nfl,Foot,OT,"Wed, May 1"
Seattle,A. Lucas,nfl,Knee,OT,"Wed, May 1"
Seattle,D. Thomas,nfl,Knee,LB,"Wed, May 1"
Seattle,M. Morris,nfl,Shoulder,DE,"Wed, May 1"
Seattle,K. McIntosh,nfl,Thumb,RB,"Wed, May 1"
Seattle,U. Nwosu,nfl,Pectoral,LB,"Wed, May 1"
Seattle,J. Baker,nfl,Wrist,OLB,"Wed, May 1"
Seattle,J. Reed,nfl,Knee,DE,"Wed, May 1"
Seattle,A. Whitaker,nfl,Knee,CB,"Wed, May 1"
Seattle,D. Eskridge,nfl,Ribs,WR,"Wed, May 1"
Seattle,J. Reed II,nfl,Knee - ACL,SAF,"Tue, Feb 13"
Tampa Bay,T. Thomas,nfl,Hamstring,CB,"Wed, May 1"
Tampa Bay,K. Merriweather,nfl,Ankle,SAF,"Wed, May 1"
Tampa Bay,M. Greene,nfl,Calf,DT,"Wed, May 1"
Tampa Bay,A. Nelson,nfl,Elbow,LB,"Wed, May 1"
Tampa Bay,J. Dean,nfl,Back,DB,"Wed, May 1"
Tampa Bay,R. Gage,nfl,Knee,WR,"Wed, May 1"
Tennessee,A. Hooker,nfl,Knee,SAF,"Mon, May 6"
Tennessee,C. Campbell,nfl,Undisclosed,LB,"Wed, May 1"
Tennessee,J. Whyle,nfl,Knee,TE,"Wed, May 1"
Tennessee,J. Gibbens,nfl,Back,LB,"Wed, May 1"
Tennessee,K. Jackson,nfl,Ankle,WR,"Wed, May 1"
Tennessee,T. McLendon Jr.,nfl,Shoulder,DE,"Wed, May 1"
Tennessee,L. Gifford,nfl,Hamstring,LB,"Wed, May 1"
Tennessee,C. Murphy,nfl,Shoulder,LB,"Wed, May 1"
Tennessee,A. Kendall,nfl,Knee,CB,"Wed, May 1"
Tennessee,W. Levis,nfl,Foot,QB,"Wed, May 1"
Tennessee,N. Petit-Frere,nfl,Shoulder,OT,"Wed, May 1"
Tennessee,J. Duncan,nfl,Neck,OT,"Wed, May 1"
Tennessee,H. Haskins,nfl,Undisclosed,RB,"Wed, May 1"
Tennessee,D. Brunskill,nfl,Ankle,OG,"Wed, May 1"
Tennessee,R. Stonehouse,nfl,Knee,P,"Wed, May 1"
Tennessee,C. Farley,nfl,Back,CB,"Wed, May 1"
Tennessee,J. Simmons,nfl,Knee,DT,"Wed, May 1"
Tennessee,C. Dowell,nfl,Knee - ACL,WR,"Tue, Feb 13"
Washington,A. Wylie,nfl,Elbow,OT,"Wed, May 1"
Washington,D. Forrest,nfl,Shoulder,SAF,"Wed, May 1"
Washington,T. Castro-Fields,nfl,Shoulder,CB,"Wed, May 1"
Washington,P. Butler,nfl,Wrist,SAF,"Wed, May 1"
Washington,R. Stromberg,nfl,Knee,C,"Wed, May 1"
Washington,C. Rodriguez Jr.,nfl,Ankle,RB,"Wed, May 1"
Washington,J. Martin,nfl,Ankle,CB,"Wed, May 1"
Washington,B. Daniels,nfl,Shoulder,OG,"Wed, May 1"
Washington,D. Milne,nfl,Groin,WR,"Wed, May 1"
Washington,E. Obada,nfl,Lower Leg,DE,"Wed, May 1"
Washington,J. Allen,nfl,Knee,DE,"Wed, May 1"
Washington,A. Rogers,nfl,Achilles,TE,"Wed, May 1"
Washington,C. Holmes,nfl,Concussion,CB,"Wed, May 1"
Washington,J. Reaves,nfl,Knee - ACL,DB,"Tue, Feb 13"
Washington,N. Allegretti,nfl,Elbow,OG,"Tue, Feb 13"
Washington,J. Davis,nfl,Shoulder,LB,"Tue, Feb 13"
