team,name,sport,blessure,position,date,position_complet
Denver,D. Turner-Yell,nfl,Knee - ACL,SAF,2024-02-12,Safety
Detroit,E. Moseley,nfl,Knee - ACL,DB,2024-05-10,Defensive Back
Detroit,J. Mitchell,nfl,Hand,TE,2024-05-01,Tight End
Detroit,D. Barnes,nfl,Knee,LB,2024-05-01,Linebacker
Detroit,J. Jefferson,nfl,Undisclosed,RB,2024-05-01,Running Back
Detroit,K. Raymond,nfl,Knee,WR,2024-05-01,Wide Receiver
Detroit,J. Reeves-Maybin,nfl,Groin,LB,2024-05-01,Linebacker
Detroit,K. Joseph,nfl,Hip,DB,2024-04-19,Defensive Back
Detroit,N. Sudfeld,nfl,Knee - ACL,QB,2024-02-12,Quarterback
Green Bay,E. Stokes,nfl,Hamstring,CB,2024-05-01,Cornerback
Green Bay,L. Tenuta,nfl,Ankle,OT,2024-05-01,Offensive Tackle
Green Bay,R. Ford,nfl,Hamstring,DB,2024-05-01,Defensive Back
Green Bay,Z. Tom,nfl,Concussion,OT,2024-05-01,Offensive Tackle
Green Bay,S. Toure,nfl,Knee,WR,2024-05-01,Wide Receiver
Green Bay,K. Enagbare,nfl,Knee - ACL,LB,2024-01-22,Linebacker
Houston,N. Brown,nfl,Shoulder,WR,2024-05-09,Wide Receiver
Houston,T. Howard,nfl,Knee,OT,2024-05-08,Offensive Tackle
Houston,T. Dell,nfl,Leg,WR,2024-05-07,Wide Receiver
Houston,T. Hairston II,nfl,Back,FB,2024-05-01,Fullback
Houston,K. Green,nfl,Knee - Meniscus,G,2024-05-01,Guard
Houston,K. Green,nfl,Shoulder - Labrum,OT,2024-05-01,Offensive Tackle
Houston,K. Zierer,nfl,Ankle,OT,2024-05-01,Offensive Tackle
Houston,D. Phillips,nfl,Shoulder,LB,2024-05-01,Linebacker
Houston,T. Quitoriano,nfl,Groin,TE,2024-05-01,Tight End
Houston,D. Horton,nfl,Personal,DE,2024-05-01,Defensive End
Houston,J. Patterson,nfl,Lower Leg,C,2024-05-01,Center
Houston,J. Ward,nfl,Quadriceps,SAF,2024-05-01,Safety
Houston,E. Murray,nfl,Knee,SS,2024-05-01,Strong Safety
