team,nom,position,blessure,date,sport
Denver,Tim Patrick,WR,Achilles,"Mon, Feb 12",nfl
Denver,Delarrin Turner-Yell,SAF,Knee - ACL,"Mon, Feb 12",nfl
Denver,Jonas Griffith,LB,Knee - ACL,"Mon, Feb 12",nfl
Detroit,James Mitchell,TE,Hand,"Wed, May 1",nfl
Detroit,Derrick Barnes,LB,Knee,"Wed, May 1",nfl
Detroit,Jermar Jefferson,RB,Undisclosed,"Wed, May 1",nfl
Detroit,Kalif Raymond,WR,Knee,"Wed, May 1",nfl
Detroit,Jalen Reeves-Maybin,LB,Groin,"Wed, May 1",nfl
Detroit,Kerby Joseph,DB,Hip,"Fri, Apr 19",nfl
Detroit,Nate Sudfeld,QB,Knee - ACL,"Mon, Feb 12",nfl
Detroit,Emmanuel Moseley,DB,Knee - ACL,"Mon, Feb 12",nfl
Green Bay,Eric Stokes,CB,Hamstring,"Wed, May 1",nfl
Green Bay,Luke Tenuta,OT,Ankle,"Wed, May 1",nfl
Green Bay,Rudy Ford,DB,Hamstring,"Wed, May 1",nfl
Green Bay,Zach Tom,OT,Concussion,"Wed, May 1",nfl
Green Bay,Samori Toure,WR,Knee,"Wed, May 1",nfl
Green Bay,Kingsley Enagbare,LB,Knee - ACL,"Mon, Jan 22",nfl
Houston,Noah Brown,WR,Shoulder,"Fri, May 3",nfl
Houston,Troy Hairston II,FB,Back,"Wed, May 1",nfl
Houston,Kendrick Green,G,Knee - Meniscus,"Wed, May 1",nfl
Houston,Tank Dell,WR,Lower Leg,"Wed, May 1",nfl
Houston,Kenyon Green,OT,Shoulder - Labrum,"Wed, May 1",nfl
Houston,Kilian Zierer,OT,Ankle,"Wed, May 1",nfl
Houston,Del'Shawn Phillips,LB,Shoulder,"Wed, May 1",nfl
Houston,Teagan Quitoriano,TE,Groin,"Wed, May 1",nfl
Houston,Jarrett Patterson,C,Lower Leg,"Wed, May 1",nfl
Houston,Dylan Horton,DE,Personal,"Wed, May 1",nfl
Houston,Tytus Howard,OT,Knee,"Wed, May 1",nfl
Houston,Jimmie Ward,SAF,Quadriceps,"Wed, May 1",nfl
Houston,Eric Murray,SS,Knee,"Wed, May 1",nfl
Houston,Laremy Tunsil,OT,Knee,"Wed, May 1",nfl
Houston,M.J. Stewart,SAF,Shoulder,"Wed, May 1",nfl
Houston,Grayland Arnold,SAF,Calf,"Wed, May 1",nfl
Houston,Lonnie Johnson,CB,Knee,"Wed, May 1",nfl
Indianapolis,Titus Leo,DE,Undisclosed,"Wed, May 1",nfl
Indianapolis,Will Mallory,TE,Hamstring,"Wed, May 1",nfl
Indianapolis,Evan Hull,RB,Knee,"Wed, May 1",nfl
Indianapolis,Jake Witt,OT,Hip,"Wed, May 1",nfl
Indianapolis,Anthony Richardson,QB,Shoulder - AC Joint,"Wed, May 1",nfl
Indianapolis,Chris Lammons,DB,Ankle,"Wed, May 1",nfl
Indianapolis,Braden Smith,OT,Knee,"Wed, May 1",nfl
Indianapolis,Genard Avery,DE,Knee - Meniscus,"Wed, May 1",nfl
Indianapolis,Daniel Scott,SAF,Knee - ACL,"Wed, May 1",nfl
Indianapolis,Jelani Woods,TE,Hamstring,"Wed, May 1",nfl
Indianapolis,Dallis Flowers,CB,Achilles,"Mon, Feb 12",nfl
Indianapolis,Ashton Dulin,WR,Knee - ACL,"Mon, Feb 12",nfl
Jacksonville,Cooper Hodges,OT,Knee,"Wed, May 1",nfl
Jacksonville,Christian Braswell,CB,Hamstring,"Wed, May 1",nfl
Jacksonville,Christian Kirk,WR,Groin,"Wed, May 1",nfl
Jacksonville,Arik Armstead,DE,Knee - Meniscus,"Wed, May 1",nfl
Jacksonville,Daniel Thomas,SAF,Forearm,"Wed, May 1",nfl
Jacksonville,Ventrell Miller,LB,Achilles,"Mon, Feb 12",nfl
Kansas City,Cam Jones,LB,Chest,"Wed, May 1",nfl
Kansas City,Bryan Cook,FS,Ankle,"Wed, May 1",nfl
Kansas City,Nikko Remigio,WR,Wrist,"Wed, May 1",nfl
Kansas City,Derrick Nnadi,NT,Triceps,"Wed, May 1",nfl
Kansas City,Joe Thuney,OG,Pectoral,"Wed, May 1",nfl
Kansas City,Nazeeh Johnson,SAF,Knee - ACL,"Wed, May 1",nfl
Kansas City,Marquise Brown,WR,Heel,"Wed, May 1",nfl
Kansas City,Charles Omenihu,DE,Knee - ACL,"Mon, Feb 12",nfl
Las Vegas,Brittain Brown,RB,Undisclosed,"Fri, May 3",nfl
Las Vegas,Darien Butler,LB,Undisclosed,"Wed, May 1",nfl
Las Vegas,Thayer Munford,OT,Knee,"Wed, May 1",nfl
Las Vegas,Austin Walter,RB,Undisclosed,"Wed, May 1",nfl
Las Vegas,Kana'i Mauga,ILB,Knee,"Wed, May 1",nfl
Las Vegas,Dalton Wagner,OT,Undisclosed,"Wed, May 1",nfl
Las Vegas,Cole Fotheringham,TE,Hamstring,"Wed, May 1",nfl
L.A. Chargers,Zion Johnson,OG,Neck,"Wed, May 1",nfl
L.A. Chargers,Josh Palmer,WR,Knee,"Wed, May 1",nfl
L.A. Chargers,Chris Rumph II,LB,Foot,"Wed, May 1",nfl
L.A. Chargers,Trey Pipkins,OT,Knee,"Wed, May 1",nfl
L.A. Chargers,Justin Hollins,LB,Shoulder,"Wed, May 1",nfl
L.A. Chargers,Joey Bosa,LB,Foot,"Wed, May 1",nfl
L.A. Chargers,Corey Linsley,C,Illness,"Wed, May 1",nfl
